code,name,mic,timezone,pre_market,hour,post_market,close_date,country,country_name,reference
RG,NASDAQ OMX RIGA,XRIS,Europe/Riga,,09:00-16:30,,"7,0",LV,Latvia,https://www.tradinghours.com/exchanges/omxr-riga
SA,Brazil Bolsa - Sao Paolo,BVMF,America/Sao_Paulo,,09:45-18:45,,"7,0",BR,Brazil,https://www.tradinghours.com/exchanges/bovespa
SG,BOERSE STUTTGART,XSTU,Asia/Amman,,08:00-20:00,,"7,0",DE,Germany,https://www.tradinghours.com/exchanges/xstu
SI,SINGAPORE EXCHANGE,XSES,Asia/Singapore,,08:30-17:16,,"7,0",SG,Singapore,https://www.tradinghours.com/exchanges/sgx
SN,SANTIAGO STOCK EXCHANGE,XSGO,America/Santiago,,09:30-16:00,,"7,0",CL,Chile,https://www.tradinghours.com/exchanges/bvs
SR,SAUDI STOCK EXCHANGE,XSAU,Asia/Riyadh,,10:00-15:10,,"6,7",SA,Saudi,https://www.tradinghours.com/exchanges/tadawul
SS,SHANGHAI STOCK EXCHANGE,XSHG,Asia/Shanghai,,09:15-15:30,,"7,0",CN,China,https://www.tradinghours.com/exchanges/sse
ST,NASDAQ OMX NORDIC STOCKHOLM,"XSTO,FNSE",Europe/Stockholm,,09:00-17:30,17:30-18:00,"7,0",SE,Sweden,https://www.tradinghours.com/exchanges/xngm
SW,SWISS EXCHANGE,XSWX,Europe/Zurich,,09:30-17:00,,"7,0",CH,Switzerland,https://www.tradinghours.com/exchanges/six
SZ,SHENZHEN STOCK EXCHANGE,XSHE,Asia/Shanghai,,09:15-15:00,,"7,0",CN,China,https://www.tradinghours.com/exchanges/szse
T,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,XJPX,Asia/Tokyo,,09:00-15:00,,"7,0",JP,Japan,https://www.tradinghours.com/exchanges/jpx
TA,TEL AVIV STOCK EXCHANGE,XTAE,Asia/Jerusalem,,09:45-17:14,,"6,7",IL,Israel,https://www.tradinghours.com/exchanges/tase
TL,NASDAQ OMX TALLINN,XTAL,Europe/Tallinn,,09:00-16:30,,"7,0",EE,Estonia,https://www.tradinghours.com/exchanges/omxt-tallinn
TO,TORONTO STOCK EXCHANGE,XTSE,America/Toronto,07:00-09:30,09:30-16:00,16:00-17:00,"7,0",CA,Canada,https://www.tradinghours.com/exchanges/tsx
TW,TAIWAN STOCK EXCHANGE,XTAI,Asia/Taipei,,09:00-17:00,,"7,0",TW,Taiwan,https://www.tradinghours.com/exchanges/twse
TWO,TPEx,ROCO,Asia/Taipei,,09:00-17:00,,"7,0",TW,Taiwan,
US,"US exchanges (NYSE, Nasdaq)","XNYS,XASE,BATS,ARCX,XNMS,XNCM,XNGS,IEXG,XNAS, OTCM, OOTC",America/New_York,04:00-09:30,09:30-16:00,16:00-20:00,"7,0",US,US,https://www.tradinghours.com/exchanges/nyse
V,TSX VENTURE EXCHANGE - NEX,XTSX,America/Toronto,07:00-09:30,09:30-16:15,16:00-17:00,"7,0",CA,Canada,https://www.tradinghours.com/exchanges/xtsx
VI,Vienna Stock Exchange,XWBO,Europe/Vienna,,09:04-17:30,,"7,0",AT,Austria,https://www.tradinghours.com/exchanges/vse
VN,"Vietnam exchanges including HOSE, HNX and UPCOM","HSTC, XSTC,XHNX",Asia/Bangkok,,09:00-15:00,,"7,0",VN,Vietnam,https://www.tradinghours.com/exchanges/hose
VS,NASDAQ OMX VILNIUS,XLIT,Europe/Vilnius,,09:00-16:30,,"7,0",LT,Lithuania,https://www.tradinghours.com/exchanges/omxv-vilnius
WA,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,XWAR,Europe/Warsaw,,08:30-17:05,,"7,0",PL,Poland,https://www.tradinghours.com/exchanges/gpw
HA,Hanover Stock Exchange,XHAN,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,
SX,DEUTSCHE BOERSE Stoxx,,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,
TG,DEUTSCHE BOERSE TradeGate ,XGAT,Europe/Berlin,,08:00-22:00,,"7,0",DE,Germany,
SC,BOERSE_FRANKFURT_ZERTIFIKATE,,Europe/Berlin,,08:00-20:00,,"7,0",DE,Germany,
